year,phase,date,home_team,home_city,home_altitude_meters,away_team,away_city,away_altitude_meters,altitude_difference,home_goals,away_goals,score_raw,stadium
2018,Fase de Grupos,26 de abril,River Plate,Buenos Aires,25,Emelec,Guayaquil,9,16,2,1,2:1 Archivado el 14 de abril de 2021 en Wayback Machine.,Buenos Aires
2018,Fase de Grupos,3 de mayo,Santa Fe,Bogotá,2640,River Plate,Buenos Aires,25,2615,0,1,0:1 Archivado el 14 de abril de 2021 en Wayback Machine.,Bogotá
2018,Fase de Grupos,16 de mayo,Flamengo,Río de Janeiro,10,Emelec,Guayaquil,9,1,2,0,2:0 Archivado el 14 de abril de 2021 en Wayback Machine.,Río de Janeiro
2018,Fase de Grupos,23 de mayo,Emelec,Guayaquil,9,Santa Fe,Bogotá,2640,-2631,0,3,0:3 Archivado el 14 de abril de 2021 en Wayback Machine.,Guayaquil
2018,Fase de Grupos,23 de mayo,River Plate,Buenos Aires,25,Flamengo,Río de Janeiro,10,15,0,0,0:0 Archivado el 14 de abril de 2021 en Wayback Machine.,Buenos Aires
2018,Fase de Grupos,28 de febrero,Flamengo,Río de Janeiro,10,River Plate,Buenos Aires,25,-15,2,2,2:2 Archivado el 30 de agosto de 2021 en Wayback Machine.,Río de Janeiro
2018,Fase de Grupos,1 de marzo,Santa Fe,Bogotá,2640,Emelec,Guayaquil,9,2631,1,1,1:1 Archivado el 14 de abril de 2021 en Wayback Machine.,Bogotá
2018,Fase de Grupos,14 de marzo,Emelec,Guayaquil,9,Flamengo,Río de Janeiro,10,-1,1,2,1:2 Archivado el 14 de abril de 2021 en Wayback Machine.,Guayaquil
2018,Fase de Grupos,5 de abril,River Plate,Buenos Aires,25,Santa Fe,Bogotá,2640,-2615,0,0,0:0 Archivado el 14 de abril de 2021 en Wayback Machine.,Buenos Aires
2018,Fase de Grupos,18 de abril,Flamengo,Río de Janeiro,10,Santa Fe,Bogotá,2640,-2630,1,1,1:1 Archivado el 14 de abril de 2021 en Wayback Machine.,Río de Janeiro
2018,Fase de Grupos,19 de abril,Emelec,Guayaquil,9,River Plate,Buenos Aires,25,-16,0,1,0:1 Archivado el 14 de abril de 2021 en Wayback Machine.,Guayaquil
2018,Fase de Grupos,25 de abril,Santa Fe,Bogotá,2640,Flamengo,Río de Janeiro,10,2630,0,0,0:0 Archivado el 14 de abril de 2021 en Wayback Machine.,Bogotá
